,Vehicle,wikipedia_name,wikipedia_url,mission_type,mission_duration,orbits_completed,spacecraft,launch_mass,landing_mass,launch_rocket,launch_site,landing_date,landing_site,orbit_epoch,orbit_reference,orbit_regime,orbit_periapsis,orbit_apoapsis,orbit_inclination,orbit_period,apsis,crew_size,crew_members
114,Soyuz TM-20,Soyuz_TM-20,https://en.wikipedia.org/wiki/Soyuz_TM-20," [[Mir]] crew transport
"," 169&nbsp;days, 5&nbsp;hours, 21&nbsp;minutes, 35&nbsp;seconds 
"," ~2,760

"," Soyuz 7K-STM No.69<ref name=""launchlog"">{{cite web|url=http://planet4589.org/space/log/launchlog.txt|title=Launch Log|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=9 November 2013}}</ref>
"," {{convert|7170|kg|lb}} 
","

"," [[Soyuz-U2]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|March 22, 1995, 04:04:05|timezone=yes}}&nbsp;UTC
"," {{coord|50.52|N|67.35|E|}}

"," 3 November 1994<ref name=""satcat"">{{cite web|url=http://planet4589.org/space/log/satcat.txt|title=Satellite Catalog|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=9 November 2013}}</ref>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|392|km|mi}}
"," {{convert|394|km|mi}} 
"," 51.6&nbsp;degrees
"," 92.42&nbsp;minutes
"," gee

"," 3
"," [[Alexander Viktorenko]]<br/>[[Yelena Kondakova]]
"
115,Soyuz TM-22,Soyuz_TM-22,https://en.wikipedia.org/wiki/Soyuz_TM-22," 
"," 179&nbsp;days, 1&nbsp;hour, 41&nbsp;minutes, 45&nbsp;seconds 
"," ~2,800

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U2]]
","

"," {{end-date|February 29, 1996, 10:42:08|timezone=yes}}&nbsp;UTC
"," {{coord|51.38|N|67.45|E|}}

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|339|km|mi}} 
"," {{convert|340|km|mi}} 
"," 51.6&nbsp;degrees
"," 
"," gee

"," 3
"," [[Yuri Gidzenko]]<br/>[[Sergei Avdeyev]]<br/>[[Thomas Reiter]]
"
116,Soyuz TM-23,Soyuz_TM-23,https://en.wikipedia.org/wiki/Soyuz_TM-23," 
"," 193&nbsp;days, 19&nbsp;hours, 7&nbsp;minutes, 35&nbsp;seconds 
"," ~3,155

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U]]
","

"," {{end-date|September 2, 1996, 07:41:40|timezone=yes}}&nbsp;UTC
"," {{coord|50.28|N|70.83|E|}}

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|202|km|mi}} 
"," {{convert|240|km|mi}} 
"," 51.6&nbsp;degrees
"," 
"," gee

"," 2 up<br/>3 down
"," [[Yuri Onufrienko]]<br/>[[Yury Usachov]]
"
117,Soyuz TM-24,Soyuz_TM-24,https://en.wikipedia.org/wiki/Soyuz_TM-24," 
"," 196&nbsp;days, 17&nbsp;hours, 26&nbsp;minutes, 13&nbsp;seconds 
"," ~3,160

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U]]
","

"," {{end-date|2 March 1997, 06:44:16|timezone=yes}}&nbsp;UTC
"," {{coord|47.82|N|69.40|E|}}

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|235.1|km|mi}} 
"," {{convert|287.4|km|mi}} 
"," 51.56&nbsp;degrees
"," 
"," gee

"," 3
"," [[Valery Korzun]]<br/>[[Aleksandr Kaleri]]
"
118,Soyuz TM-25,Soyuz_TM-25,https://en.wikipedia.org/wiki/Soyuz_TM-25," 
"," 184&nbsp;days, 22&nbsp;hours, 7&nbsp;minutes, 40&nbsp;seconds 
"," ~2,950

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U]]
","

"," {{end-date|August 14, 1997, 12:17:10|timezone=yes}}&nbsp;UTC
"," {{convert|170|km|mi}} SE of [[Dzhezkazgan]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|378|km|mi}} 
"," {{convert|394|km|mi}} 
"," 51.56&nbsp;degrees
"," 
"," gee

"," 3 up<br/>2 down
"," [[Vasili Tsibliyev]]<br/>[[Aleksandr Lazutkin]]
"
119,Soyuz TM-26,Soyuz_TM-26,https://en.wikipedia.org/wiki/Soyuz_TM-26," 
"," 197&nbsp;days, 17&nbsp;hours, 34&nbsp;minutes, 36&nbsp;seconds 
"," ~3,220

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U]]
","

"," {{end-date|February 19, 1998, 09:10:30|timezone=yes}}&nbsp;UTC
"," {{coord|50.18|N|67.50|E|}}

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|193|km|mi}} 
"," {{convert|249|km|mi}} 
"," 51.6&nbsp;degrees
"," 
"," gee

"," 2 up<br/>3 down
"," [[Anatoly Solovyev]]<br/>[[Pavel Vinogradov]]
"
120,Soyuz TM-27,Soyuz_TM-27,https://en.wikipedia.org/wiki/Soyuz_TM-27," 
"," 207&nbsp;days, 12&nbsp;hours, 51&nbsp;minutes, 2&nbsp;seconds 
"," 3,284

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U]]
","

"," {{end-date|August 25, 1998, 05:24:44|timezone=yes}}&nbsp;UTC
"," {{coord|47.96944|N|69.63056|E|}}

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|382|km|mi}} 
"," {{convert|390|km|mi}} 
"," 51.6&nbsp;degrees
"," 
"," gee

"," 3
"," [[Talgat Musabayev]]<br/>[[Nikolai Budarin]]
"
121,Soyuz TM-28,Soyuz_TM-28,https://en.wikipedia.org/wiki/Soyuz_TM-28," 
"," 198&nbsp;days, 16&nbsp;hours, 31&nbsp;minutes, 19&nbsp;seconds 
"," 3,144

"," 
"," 
","

"," [[Soyuz-U]]
","

"," {{end-date|February 28, 1999, 02:14:30|timezone=yes}}&nbsp;UTC
"," {{Coord|50|42|N|67|12|E|}}<br/>{{convert|100|km|mi}} south of [[Kijma]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|190|km|mi}} 
"," {{convert|273.7|km|mi}} 
"," 51.64&nbsp;degrees
"," 88.5&nbsp;minutes
"," gee

"," 3 up<br/>2 down
"," [[Gennady Padalka]]
"
122,Soyuz TM-29,Soyuz_TM-29,https://en.wikipedia.org/wiki/Soyuz_TM-29," 
"," 188&nbsp;days, 20&nbsp;hours, 16&nbsp;minutes, 19&nbsp;seconds 
"," ~3,070

"," 
"," {{convert|7150|kg|lb}} 
","

"," [[Soyuz-U]]
","

"," {{end-date|August 28, 1999, 00:34:20|timezone=yes}}&nbsp;UTC
"," {{convert|70|km|mi}} NE of [[Arkalyk]]

"," 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|188|km|mi}} 
"," {{convert|273|km|mi}} 
"," 51.6&nbsp;degrees
"," 88.6&nbsp;minutes
"," gee

"," 3
"," [[Viktor M. Afanasyev|Viktor Afanasyev]]<br/>[[Jean-Pierre Haigneré]]
"
123,Soyuz TM-30,Soyuz_TM-30,https://en.wikipedia.org/wiki/Soyuz_TM-30," [[Mir]] crew transport
"," 72&nbsp;days, 19&nbsp;hours, 42&nbsp;minutes
"," 1,145

"," Soyuz 7K-STM No.204<ref name=""satcat"">{{cite web|url=http://planet4589.org/space/log/satcat.txt|title=Satellite Catalog|first=Jonathan|last=McDowell|work=Jonathan's Space Page|accessdate=21 November 2013}}</ref>
"," 
","

"," [[Soyuz-U]]
"," [[Baikonur Cosmodrome|Baikonur]] [[Baikonur Cosmodrome Site 1|1/5]]

"," {{end-date|June 16, 2000, 00:44|timezone=yes}}&nbsp;UTC
"," {{coord|49|54|N|67|12|E}}

"," May 5, 2000<ref name=""satcat""/>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit|Low Earth]]
"," {{convert|358|km|mi}} 
"," {{convert|384|km|mi}} 
"," 51.6&nbsp;degrees
"," 91.96&nbsp;minutes
"," gee

"," 2
"," [[Sergei Zalyotin]]<br/>[[Aleksandr Kaleri]]
"
124,Expedition 2,Expedition_2,https://en.wikipedia.org/wiki/Expedition_2," ISS Expedition
"," 163&nbsp;days, 8&nbsp;hours, 13&nbsp;minutes (at ISS)<br/>167&nbsp;days, 6&nbsp;hours, 41&nbsp;minutes (launch to landing)<ref name=ISS2 group=NASA>{{cite web|url=http://spaceflight.nasa.gov/station/crew/exp2/index.html|title=ISS Expedition Two Crew|publisher=[[NASA]]|accessdate=3 January 2011}}</ref>
"," 2,635<ref name=SFexp2>{{cite web|url=http://www.spacefacts.de/iss/english/exp_2.htm|title=ISS: Expedition 2|publisher=spacefacts.de|accessdate=3 January 2011}}</ref>
",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Yury Usachev]]<br/>[[Susan J. Helms|Susan Helms]]<br/>[[James Voss]]
"
125,Expedition 3,Expedition_3,https://en.wikipedia.org/wiki/Expedition_3," ISS Expedition
"," 124&nbsp;days, 22&nbsp;hours, 47&nbsp;minutes (at ISS)<br/>128&nbsp;days, 20&nbsp;hours, 45&nbsp;minutes, 58&nbsp;seconds (launch to landing)
"," 2,020
",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Frank Culbertson]]<br/>[[Vladimir Dezhurov]]<br/>[[Mikhail Tyurin]]
"
126,Expedition 4,Expedition_4,https://en.wikipedia.org/wiki/Expedition_4," ISS Expedition
"," 190&nbsp;days, 5&nbsp;hours, 31&nbsp;minutes (at ISS)<br/><small>195&nbsp;days, 11&nbsp;hours, 38&nbsp;minutes, 13&nbsp;seconds (launch to landing)</small>
"," 3,068

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Yury Onufrienko]]<br/>[[Daniel W. Bursch]]<br/>[[Carl E. Walz]]
"
127,Expedition 5,Expedition_5,https://en.wikipedia.org/wiki/Expedition_5," ISS Expedition
"," 178&nbsp;days, 3&nbsp;hours, 10&nbsp;minutes<ref name=nasafive group=NASA>{{cite web|title=ISS Expedition Five Crew|url=http://spaceflight.nasa.gov/station/crew/exp5/|publisher=NASA|accessdate=8 March 2011}}</ref>  (at ISS)<br/><small>184&nbsp;days, 22&nbsp;hours, 14&nbsp;minutes and 23&nbsp;seconds<ref name=nasafive group=NASA/> (launch to landing)</small>

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Valery Korzun]]<br/>[[Peggy Whitson]]<br/>[[Sergei Treshchev]]
"
128,Expedition 8,Expedition_8,https://en.wikipedia.org/wiki/Expedition_8," ISS Expedition
"," 192&nbsp;days, 13&nbsp;hours, 36&nbsp;minutes and 11&nbsp;seconds (at ISS)<br/><small>194&nbsp;days, 18&nbsp;hours, 33&nbsp;minutes, 12&nbsp;seconds (launch to landing)</small>
"," ~3,036
",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 2
"," [[Michael Foale]]<br/>[[Aleksandr Kaleri]]
"
129,Expedition 9,Expedition_9,https://en.wikipedia.org/wiki/Expedition_9," ISS Expedition
"," 185&nbsp;days, 15&nbsp;hours, 7&nbsp;minutes (at ISS)<br/><small>187&nbsp;days, 21&nbsp;hours, 16&nbsp;minutes (launch to landing)</small>
"," 2,940
",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 2
"," [[Gennady Padalka]]<br/>[[Michael Fincke]]
"
130,Expedition 10,Expedition_10,https://en.wikipedia.org/wiki/Expedition_10," ISS Expedition
"," 190&nbsp;days, 11&nbsp;hours, 23&nbsp;minutes (at ISS)<br/><small>192&nbsp;days 19&nbsp;hours, 2&nbsp;minutes (launch to landing)</small>
"," ~2,975
",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 2
"," [[Leroy Chiao]]<br/>[[Salizhan Sharipov]]
"
131,Expedition 26,Expedition_26,https://en.wikipedia.org/wiki/Expedition_26," ISS Expedition
","
","

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6
"," '''Expedition 25/26''':<br/>[[Scott Kelly (astronaut)|Scott J. Kelly]]<br/>[[Aleksandr Kaleri]]<br/>[[Oleg Skripochka]]<br/><br/>'''Expedition 26/27''':<br/>[[Dmitri Kondratyev]]<br/>[[Catherine Coleman]]<br/>[[Paolo Nespoli]]

"
132,Expedition 11,Expedition_11,https://en.wikipedia.org/wiki/Expedition_11," ISS Expedition
"," 176&nbsp;days, 19&nbsp;hours, 30&nbsp;minutes (at ISS)<br/><small>179&nbsp;days, 23&nbsp;minutes (launch to landing)</small>
"," 2,817

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 2
"," [[Sergei K. Krikalev]]<br/>[[John L. Phillips]]
"
133,Expedition 12,Expedition_12,https://en.wikipedia.org/wiki/Expedition_12," ISS Expedition
"," 187&nbsp;days, 14&nbsp;hours, 1&nbsp;minute (at ISS)<br/><small>189&nbsp;days, 19&nbsp;hours, 53&nbsp;minutes (launch to landing)</small>
"," 2,987

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 2
"," [[William S. McArthur]]<br/>[[Valery Ivanovich Tokarev]]
"
134,Expedition 13,Expedition_13,https://en.wikipedia.org/wiki/Expedition_13," ISS Expedition
"," 180&nbsp;days, 17&nbsp;hours, 34&nbsp;minutes (at ISS)<br/><small>182&nbsp;days, 23&nbsp;hours, 44&nbsp;minutes (launch to landing)</small>
"," 2,886

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 2<br/>3 (from July)
"," [[Pavel Vinogradov]]<br/>[[Jeffrey Williams (astronaut)|Jeffrey Williams]]<br/>[[Thomas Reiter]]* (from July)<br/><small>* - Transferred to Expedition 14</small>
"
135,Expedition 14,Expedition_14,https://en.wikipedia.org/wiki/Expedition_14," ISS Expedition
"," 7&nbsp;months, 3&nbsp;days (at ISS)<br/><small>215&nbsp;days 8&nbsp;hours (López-Alegría/Tyurin) (launch to landing)</small>
"," 3,401 (López-Alegría/Tyurin)

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Michael López-Alegría]]<br/>[[Mikhail Tyurin]]<br/>[[Thomas Reiter]]* (until December)<br/>[[Sunita Williams]]† (from December)<br/><small>* - transferred from Expedition 13<br/>† - transferred to Expedition 15</small>
"
136,Expedition 15,Expedition_15,https://en.wikipedia.org/wiki/Expedition_15," ISS Expedition
"," 6&nbsp;months, 14&nbsp;days (at ISS)<br/><small>196&nbsp;days, 17&nbsp;hours, 17&nbsp;minutes (launch to landing)</small>

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Fyodor Yurchikhin]]<br/>[[Oleg Kotov]]<br/>[[Sunita Williams]]* (to June)<br/>[[Clayton Anderson]]† (from June)<br/><small>* - transferred from Expedition 14<br/>† - transferred to Expedition 16</small>
"
137,Expedition 17,Expedition_17,https://en.wikipedia.org/wiki/Expedition_17," ISS Expedition
"," 
"," 

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Sergey Alexandrovich Volkov|Sergei Volkov]]*<br/>[[Oleg Kononenko]]<br/>[[Garrett Reisman]]* (to June)<br/>[[Gregory Chamitoff]]† (from June)<br/><small>* - transferred from Expedition 16<br/>† - transferred to Expedition 18</small>
"
138,Expedition 18,Expedition_18,https://en.wikipedia.org/wiki/Expedition_18," ISS Expedition
"," 
","

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Michael Fincke]]<br/>[[Yuri Lonchakov]]<br/>[[Gregory Chamitoff]]* (October–November)<br/>[[Sandra Magnus]] (November–March)<br/>[[Koichi Wakata]]† (March–April)<br/><small>* – transferred from Expedition 17<br/>† – transferred to Expedition 19</small>
"
139,Expedition 19,Expedition_19,https://en.wikipedia.org/wiki/Expedition_19," ISS Expedition
"," 61&nbsp;days, 23&nbsp;hours, 29&nbsp;minutes
"," 

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 3
"," [[Gennady Padalka]]<br/>[[Michael R. Barratt|Michael Barratt]]<br/>[[Koichi Wakata]]*<br/><small>* - transferred from Expedition 18<br/>All members transferred to Expedition 20</small>
"
140,Expedition 22,Expedition_22,https://en.wikipedia.org/wiki/Expedition_22," ISS Expedition
"," 167&nbsp;days (at ISS)<br/><small>169&nbsp;days (launch to landing)</small>
","

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 5
"," '''Expedition 21/22''':<br/>[[Jeffrey N. Williams]]<br/>[[Maksim Surayev]]<br/><br/>'''Expedition 22/23''':<br/>[[Oleg Kotov]]<br/>[[Soichi Noguchi]]<br/>[[Timothy Creamer]]
"
141,Expedition 24,Expedition_24,https://en.wikipedia.org/wiki/Expedition_24," ISS Expedition
","
","

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6
"," '''Expedition 23/24''':<br/>[[Aleksandr Skvortsov (cosmonaut)|Aleksandr Skvortsov]]<br/>[[Mikhail Korniyenko]]<br/>[[Tracy Caldwell Dyson]]<br/><br/>'''Expedition 24/25''':<br/>[[Fyodor Yurchikhin]]<br/>[[Shannon Walker]]<br/>[[Douglas H. Wheelock]]

"
142,Expedition 25,Expedition_25,https://en.wikipedia.org/wiki/Expedition_25," ISS Expedition
","
","

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6
"," '''Expedition 24/25''':<br/>[[Douglas H. Wheelock]]<br/>[[Shannon Walker]]<br/>[[Fyodor Yurchikhin]]<br/><br/>'''Expedition 25/26''':<br/>[[Scott Kelly (astronaut)|Scott J. Kelly]]<br/>[[Aleksandr Kaleri]]<br/>[[Oleg Skripochka]]

"
143,Expedition 28,Expedition_28,https://en.wikipedia.org/wiki/Expedition_28," ISS Expedition
","
","

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6
"," '''Expedition 27/28''':<br/>[[Andrei Borisenko]]<br/>[[Aleksandr Samokutyayev]]<br/>[[Ron Garan]]<br/><br/>'''Expedition 28/29''':<br/>[[Sergey Alexandrovich Volkov|Sergey Volkov]]<br/>[[Mike Fossum]]<br/>[[Satoshi Furukawa]]

"
144,Expedition 30,Expedition_30,https://en.wikipedia.org/wiki/Expedition_30," ISS Expedition
","
"," 

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6
"," '''Expedition 29/30''':<br/>[[Dan Burbank]]<br/>[[Anton Shkaplerov]]<br/>[[Anatoli Ivanishin]]<br/><br/>'''Expedition 30/31''':<br/>[[Oleg Kononenko]]<br/>[[André Kuipers]]<br/>[[Don Pettit]]

"
145,Expedition 32,Expedition_32,https://en.wikipedia.org/wiki/Expedition_32," ISS Expedition
","
"," 

",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN," 6
"," '''Expedition 31/32''':<br/>[[Gennady Padalka]]<br/>[[Joseph M. Acaba]]<br/>[[Sergei Revin]]<br/><br/>'''Expedition 32/33''':<br/>[[Sunita Williams]]<br/>[[Yuri Malenchenko]]<br/>[[Akihiko Hoshide]]

"
